Date,Close,High,Low,Open,Volume,Sentiment_Score,FNG_Value,MA7,MA30,SMA20,STD20,BB_Upper,BB_Lower
2020-12-11,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985,0.13636363636363635,89,18698.56277901786,18108.556705729166,18569.63310546875,708.0335819894349,19985.70026944762,17153.56594148988
2020-12-12,18803.65625,18919.55078125,18046.041015625,18051.3203125,21752580802,0.0,90,18648.48074776786,18192.800455729168,18591.3158203125,708.2383981624035,20007.792616637307,17174.83902398769
2020-12-13,19142.3828125,19381.53515625,18734.33203125,18806.765625,25450468637,-0.3,91,18619.518136160714,18286.9529296875,18630.22890625,716.4313521658829,20063.091610581763,17197.366201918234
2020-12-14,19246.64453125,19305.099609375,19012.708984375,19144.4921875,22473997681,0.0,95,18627.37723214286,18392.903125,18637.187890625,721.9654933578881,20081.118877340774,17193.256903909223
2020-12-15,19417.076171875,19525.0078125,19079.841796875,19246.919921875,26741982541,0.0,91,18783.938895089286,18508.286067708334,18671.43564453125,742.6554256469257,20156.746495825104,17186.1247932374
2020-12-16,21310.59765625,21458.908203125,19298.31640625,19418.818359375,44409011479,-0.15,92,19177.750558035714,18661.435611979166,18879.434375,866.5187541017402,20612.47188320348,17146.39686679652
2020-12-17,22805.162109375,23642.66015625,21234.67578125,21308.3515625,71378606374,0.0,92,19826.346261160714,18833.427473958334,19164.27236328125,1145.2044283228697,21454.681219926988,16873.86350663551
2020-12-18,23137.9609375,23238.6015625,22399.8125,22806.796875,40387896275,0.13636363636363635,95,20551.92578125,19011.2259765625,19435.29970703125,1398.233020100525,22231.765747232297,16638.8336668302
2020-12-19,23869.83203125,24085.85546875,22826.47265625,23132.865234375,38487546580,0.13636363636363635,93,21275.665178571428,19212.984049479168,19719.91708984375,1679.7382694705825,23079.393628784917,16360.440550902586
2020-12-20,23477.294921875,24209.66015625,23147.7109375,23861.765625,37844228422,0.0,92,21894.938337053572,19374.850065104165,19912.4900390625,1877.515751122573,23667.521541307648,16157.458536817354
2020-12-21,22803.08203125,24059.982421875,22159.3671875,23474.455078125,45852713981,0.0,92,22403.000837053572,19513.545052083333,20112.49423828125,1964.1625845050476,24040.819407291347,16184.169069271156
2020-12-22,23783.029296875,23789.90234375,22430.60546875,22794.0390625,44171632681,0.0,88,23026.708426339286,19693.979296875,20341.59111328125,2113.77965480758,24569.15042289641,16114.03180366609
2020-12-23,23241.345703125,24024.490234375,22802.646484375,23781.974609375,51146161904,0.0,93,23302.52957589286,19856.553450520834,20531.3884765625,2197.8240284368844,24927.03653343627,16135.740419688733
2020-12-24,23735.94921875,23768.337890625,22777.59765625,23240.203125,41080759713,0.0,86,23435.499162946428,20010.836263020832,20783.19765625,2264.4203250329188,25312.038306315837,16254.35700618416
2020-12-25,24664.791015625,24710.1015625,23463.673828125,23733.5703125,42068395846,0.0,94,23653.617745535714,20208.591927083333,21058.72568359375,2387.68008736707,25834.08585832789,16283.365508859612
2020-12-26,26437.037109375,26718.0703125,24522.689453125,24677.015625,48332647295,0.0,93,24020.361328125,20518.1390625,21413.321484375,2633.7319655046294,26680.785415384256,16145.85755336574
2020-12-27,26272.294921875,28288.83984375,25922.76953125,26439.373046875,66479895605,0.0,91,24419.647042410714,20823.6021484375,21767.3546875,2790.5975658036446,27348.549819107287,16186.159555892711
2020-12-28,27084.80859375,27389.111328125,26207.640625,26280.822265625,49056742893,0.0,92,25031.322265625,21135.8486328125,22205.537890625,2906.6178747377066,28018.773640100415,16392.302141149587
2020-12-29,27362.4375,27370.720703125,25987.298828125,27081.810546875,45265946774,0.0,91,25542.66629464286,21442.013736979166,22645.96396484375,2990.334347186551,28626.632659216855,16665.295270470648
2020-12-30,28840.953125,28937.740234375,27360.08984375,27360.08984375,51287442704,0.0625,91,26342.610212053572,21749.184309895834,23174.76201171875,3107.650323622446,29390.062658963645,16959.461364473857
2020-12-31,29001.720703125,29244.876953125,28201.9921875,28841.57421875,46754964848,0.0,95,27094.86328125,22089.141731770833,23721.90283203125,3122.8066494917407,29967.51613101473,17476.28953304777
2021-01-01,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359,0.0,94,27767.62918526786,22428.24375,24250.42763671875,3141.0567426446096,30532.54112200797,17968.314151429528
2021-01-02,32127.267578125,33155.1171875,29091.181640625,29376.455078125,67865420765,0.0,94,28580.51925223214,22850.972721354166,24899.671875,3363.743494720591,31627.158864441182,18172.184885558818
2021-01-03,32782.0234375,34608.55859375,32052.31640625,32129.408203125,78665235202,0.0,93,29510.48046875,23320.381315104165,25576.4408203125,3524.314487775189,32625.069795862877,18527.81184476212
2021-01-04,31971.9140625,33440.21875,28722.755859375,32810.94921875,81163475344,0.13636363636363635,94,30208.63839285714,23747.637434895834,26204.18271484375,3487.4071725976155,33178.99706003898,19229.36836964852
2021-01-05,33992.4296875,34437.58984375,30221.1875,31977.041015625,67547324782,0.0,93,31155.780133928572,24235.8810546875,26838.27431640625,3697.4126085553385,34233.09953351693,19443.449099295573
2021-01-06,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811,0.0,95,32296.26729910714,24823.638802083333,27539.234375,4188.8034884022745,35916.84135180455,19161.62739819545
2021-01-07,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031,0.0,91,33777.59905133928,25525.302083333332,28350.8884765625,4816.748508782984,37984.385494128466,18717.391458996535
2021-01-08,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480,0.0,93,35409.521484375,26266.758528645834,29197.27734375,5435.428466662731,40068.13427707546,18326.420410424536
2021-01-09,40254.546875,41436.3515625,38980.875,40788.640625,61984162837,0.0,93,36570.56138392857,26999.743684895835,30036.13994140625,5789.304890249926,41614.749721906104,18457.530160906397
2021-01-10,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690,0.0,94,37366.90680803572,27676.328255208333,30813.80791015625,5811.150404609972,42436.10871937619,19191.50710093631
2021-01-11,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399,0.0,90,37880.44140625,28235.094921875,31402.9892578125,5656.086324524721,42715.16190686194,20090.81660876306
2021-01-12,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909,0.16818181818181818,84,37870.517299107145,28727.780859375,31937.07001953125,5340.352463485854,42617.774946502956,21256.365092559543
2021-01-13,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979,0.0,78,37940.802455357145,29330.1046875,32616.09052734375,5100.696128090251,42817.48278352425,22414.698271163248
2021-01-14,39187.328125,39966.40625,36868.5625,37325.109375,63615990033,0.0,83,37914.55747767857,29989.1130859375,33342.2173828125,4940.369229043492,43222.955840899485,23461.478924725518
2021-01-15,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881,0.16818181818181818,88,37347.09430803572,30506.2720703125,33861.63388671875,4717.228569319825,43296.0910253584,24427.176748079102
2021-01-16,36178.140625,37864.3671875,35633.5546875,36821.6484375,57706187875,0.16818181818181818,84,36764.75055803572,30952.038020833334,34356.926171875,4386.909418758428,43130.74500939185,25583.107334358145
2021-01-17,35791.27734375,36722.3515625,34069.3203125,36163.6484375,52359854336,0.0,79,36398.298549107145,31373.815234375,34792.249609375,4046.0380232680427,42884.32565591109,26700.173562838914
2021-01-18,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,0.16818181818181818,79,36550.21540178572,31799.156640625,35255.6314453125,3662.8942167977466,42581.419878908,27929.843011717006
2021-01-19,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486,0.0,80,36856.90736607143,32218.906966145834,35617.0740234375,3338.9334272073593,42294.94087785222,28939.20716902278
2021-01-20,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161,0.16818181818181818,78,36604.24888392857,32643.729231770834,35944.37548828125,2955.106494518914,41854.58847731908,30034.162499243423
2021-01-21,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688,0.0,75,35409.73046875,32878.48489583333,36016.95283203125,2798.9480980109347,41614.849028053126,30419.056636009384
2021-01-22,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511,0.0,40,34864.072544642855,33203.9654296875,36060.8775390625,2740.986487805499,41542.8505146735,30578.904563451502
